date,open,close,diff,type,rate_change,date_str
1994-02-04,[480.67999268],[469.80999756],-10.8699951171875,regular,0.25,1994-02-04
1994-03-22,[468.3999939],[468.79998779],0.399993896484375,regular,0.25,1994-03-22
1994-05-17,[444.48999023],[449.36999512],4.8800048828125,regular,0.5,1994-05-17
1994-07-06,[446.29000854],[446.13000488],-0.160003662109375,regular,0.0,1994-07-06
1994-08-16,[461.22000122],[465.01000977],3.790008544921875,regular,0.5,1994-08-16
1994-09-27,[460.82000732],[462.04998779],1.22998046875,regular,0.0,1994-09-27
1994-11-15,[466.04000854],[465.02999878],-1.010009765625,regular,0.75,1994-11-15
1994-12-20,[458.07998657],[457.1000061],-0.97998046875,regular,0.0,1994-12-20
1995-02-01,[470.42001343],[470.3999939],-0.02001953125,regular,0.5,1995-02-01
1995-03-28,[503.19000244],[503.8999939],0.709991455078125,regular,0.0,1995-03-28
1995-05-23,[523.65002441],[528.59002686],4.94000244140625,regular,0.0,1995-05-23
1995-07-06,[547.26000977],[553.98999023],6.72998046875,regular,-0.25,1995-07-06
1995-08-22,[558.10998535],[559.52001953],1.4100341796875,regular,0.0,1995-08-22
1995-09-26,[581.80999756],[581.40997314],-0.4000244140625,regular,0.0,1995-09-26
1995-11-15,[589.28997803],[593.96002197],4.6700439453125,regular,0.0,1995-11-15
1995-12-19,[606.80999756],[611.92999268],5.1199951171875,regular,0.0,1995-12-19
1996-01-31,[630.15002441],[636.02001953],5.8699951171875,regular,-0.25,1996-01-31
1996-03-26,[650.03997803],[652.9699707],2.92999267578125,regular,0.0,1996-03-26
1996-05-21,[673.15002441],[672.76000977],-0.3900146484375,regular,0.0,1996-05-21
1996-07-03,[673.60998535],[672.40002441],-1.2099609375,regular,0.0,1996-07-03
1996-08-20,[666.58001709],[665.69000244],-0.8900146484375,regular,0.0,1996-08-20
1996-09-24,[686.47998047],[685.60998535],-0.8699951171875,regular,0.0,1996-09-24
1996-11-13,[729.55999756],[731.13000488],1.57000732421875,regular,0.0,1996-11-13
1996-12-17,[720.97998047],[726.03997803],5.05999755859375,regular,0.0,1996-12-17
1997-02-05,[789.26000977],[778.2800293],-10.97998046875,regular,0.0,1997-02-05
1997-03-25,[790.89001465],[789.07000732],-1.82000732421875,regular,0.25,1997-03-25
1997-05-20,[833.27001953],[841.65997314],8.38995361328125,regular,0.0,1997-05-20
1997-07-02,[891.0300293],[904.0300293],13.0,regular,0.0,1997-07-02
1997-08-19,[912.48999023],[926.01000977],13.52001953125,regular,0.0,1997-08-19
1997-09-30,[953.34002686],[947.2800293],-6.05999755859375,regular,0.0,1997-09-30
